Sitename:Mackenzie2017
Location: Latitude:   49.2644081 - Longitude: -123.2553329 - Elevation (masl):     0.
Principal investigator: 
Ecosystem type: 
File creation date: 2020-08-20T18:35
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2017,0,173.20830000000001,173,500,3.5417986673427181E-002,6.5242934502496155,47.273931348649967,1.0745794163333888,0.21497330922503924,0.10304870927243513,0.11192459995260411,-2.1388302252916982,-1.1133231247314399,-0.70658208395588173,-0.41990996408230341,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.466016188772628,102.02176333333334,405.76203874108171,4.3836450473708391E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.0447155052063462,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.5291227434753283
 2017,0,173.22913000000000,173,530,6.3929146326348926E-002,6.6133585611979129,103.63357890108047,1.1138038731340645,-0.13117315551679182,-3.8986627179133426E-002,-9.2186528337658391E-002,-1.1159914404747466,0.18166869944463870,-0.31867047961387768,0.13049329462976750,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.340530573458963,102.04264999999999,404.43954673124375,4.5326811985906025E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.0865299989318373,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.13565462426906555
 2017,0,173.24995999999999,173,600,6.5885889906974832E-002,6.6417915683322803,107.83757577913489,0.97589078627535752,2.5874938570539973E-002,2.7770767669630388E-002,-1.8958290990904159E-003,-2.1658824826067002,5.7990955429316517E-002,-1.2530067112146530,0.69982947196889522,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,97.501096913956886,102.04083222222222,404.41234624583655,2.4356671742553637E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.3108120540879096,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.24050093537463410
 2017,0,173.27079000000001,173,630,7.9969617749591632E-002,7.0905661349826801,107.51422313300752,1.2193085709456923,0.14765278260122475,0.10760775780479399,4.0045024796430746E-002,-1.9441308839222633,0.91386562707408947,-0.99323024317322184,0.95427566211241721,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,97.650203339247383,102.03773166666667,404.98783291143315,2.3620344554706563E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.6172703212644794,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.12072386351436289
 2017,0,173.29161999999999,173,700,0.17772794896738628,8.3971183268229197,122.46541472152619,2.4121865113652650,-0.25443271710063664,-0.14190935642309341,-0.11252336067754323,17.702335847533082,2.6479147072553535,12.172273733497292,0.96316998317008307,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,92.196336309563691,102.01680111111111,403.36288826316911,8.5754274425923246E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.9284788450143786,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.10014687153471087
 2017,0,173.31245000000001,173,730,0.17428829284084818,10.334956936306469,159.76618651972933,2.3469036502368232,-0.24191795998659543,-0.13219779026415565,-0.10972016972243977,8.7176544989488836,3.9019507219053482,7.9043150356006855,1.9300189795107410,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,86.066445211979058,102.04140833333334,401.76790350576118,0.17445264124365850,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.557389925600607,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-5.2279699326633323E-002
 2017,0,173.33328000000000,173,800,0.14568426194724240,10.663345828586159,166.54684713837713,2.1152371499994786,0.13822288123899318,0.12678650435967925,1.1436376879313929E-002,-5.2932586812260274,0.66029313515855326,5.4615815104044279,4.0038734714604472E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,84.282987424833735,102.01403500000001,401.93438955167284,0.20114088395173357,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.570459573212638,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.4362949687417263E-002
 2017,0,173.35410999999999,173,830,0.19007484885046244,11.902875671386766,157.78407270213350,2.3858204580041691,-0.67387001185466411,-0.61069910697774388,-6.3170904876920272E-002,78.717283931593670,2.4820448098444889,26.860586805227328,-8.9975193131379680E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,77.432578900836177,102.03503111111111,401.01094735571223,0.31354725849917031,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.540932161708476,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.36395072557155211
 2017,0,173.37494000000001,173,900,0.19291976751411974,12.509277699788413,154.06533609557215,2.6016012734496896,-0.40514351760028783,-0.38321686552904327,-2.1926652071244560E-002,23.622969019289759,1.2116367003236870,17.054098963024106,0.84058990942430345,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,76.348042265067917,102.02483611111111,400.68970615138261,0.34199608633948059,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.817566211998789,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.10446150511858955
 2017,0,173.39577000000000,173,930,0.18066233479448773,12.722672322591166,165.39463628551445,2.2397757722878802,-0.32235883737045828,-0.27971834772191700,-4.2640489648541287E-002,8.2452019956637645,0.42611390593218623,-4.6801870860497266,1.5016892449666615,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,78.732228086596422,102.02864333333333,400.06454899823217,0.31185719194777289,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.312216823914911,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.4391548859402497E-002
 2017,0,173.41659999999999,173,1000,0.19996063125567237,13.254444630940782,165.12184941524851,2.5600348354404567,-0.64325724229527981,-0.60207320873199954,-4.1184033563280251E-002,30.910237171047743,1.0602088971621488,25.437047558667814,1.3280851014686688,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,79.004796791245269,102.05061333333333,399.45975216920635,0.31875699545993147,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.750626008191736,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.12270629254956046
 2017,0,173.43743000000001,173,1030,0.18544097075036528,14.347207828097908,172.08353284863188,3.0232208053194713,-0.87562174168622509,-0.81647772096472182,-5.9144020721503217E-002,58.476893571957355,2.1708495426758048,39.859142871620939,1.2217257397127732,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,76.135395165595142,102.06293333333333,398.58800022889926,0.38898884954839669,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.155840301388261,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.29099691877805306
 2017,0,173.45826000000000,173,1100,0.24901307880804752,15.009658932156071,171.75670171345627,3.2152563719232896,-2.2092709444548215,-2.2069876061291112,-2.2833383257101904E-003,71.107660433511953,1.3130989796317529,48.542693969096725,0.56167933347881061,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,74.073353461323165,102.06761277777777,398.55426901406980,0.44106037519797048,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.342674205013168,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.14612928586201526
 2017,0,173.47909000000001,173,1130,0.31620566280931334,16.465606672498950,188.55610237820096,3.0644317784128901,-1.0223218344385736,-1.0171763791788022,-5.1454552597714207E-003,75.435545610414380,2.8713553017045834,37.800321372586460,-0.94705880255062813,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,65.748225114161272,102.06692000000000,398.47787184777906,0.63959892642737470,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.025612061715274,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.5712452813539527E-002
 2017,0,173.49992000000000,173,1200,0.26929575301302949,17.468642747667104,198.07926391269532,3.9076403008069787,0.11265864081878785,9.6454455723750818E-002,1.6204185095037023E-002,96.369298829797970,1.9713792004792492,8.3052631639265861,6.4836413021146413E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,61.809913260443125,102.06764166666666,398.71929508966053,0.75996032893878396,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.047414474291010,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.15658036356132035
 2017,0,173.52074999999999,173,1230,0.29936987676774346,18.246655748155376,212.03358901472455,4.2610354073350649,-0.50562392982992554,-0.49510916271474781,-1.0514767115177773E-002,137.87293369288562,1.5250775788802635,3.1195148240542991,-1.0812923899986524,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.077308451619459,102.07517388888890,398.56222966778540,0.89701399181218144,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.682590323871668,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.16305662145172242
 2017,0,173.54158000000001,173,1300,0.31371137805546623,18.216966247558616,235.22808558887061,4.5148757448749341,0.51582493506060934,0.47816281070983602,3.7662124350773353E-002,156.21405793409559,-5.8204009683921087E-002,9.4358637914797363,-0.13462256968804440,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,56.962051944263720,102.07618722222222,399.12474864360854,0.89774797842437737,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.637175533999095,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.16055120730780226
 2017,0,173.56241000000000,173,1330,0.26023541274255951,18.584082568196266,234.92492596623433,3.7391410478809299,0.16861030052445100,0.20649239609584058,-3.7882095571389572E-002,170.78812932035450,0.71883350718404981,6.7243225713689609,0.31978761977141146,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,56.184203628623465,102.07851888888889,398.55824423079684,0.93525221420959204,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.745227292097251,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.30748514604900912
 2017,0,173.58323999999999,173,1400,0.13678868447810688,19.232061876145394,224.35764109378616,2.3988276187614148,0.10527938153402522,0.15333831241338516,-4.8058930879359939E-002,138.60310263340145,1.2661797481142094,-1.7034085113026283,1.6325909866734736,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,56.500807423552530,102.08462444444444,397.83799801294327,0.96683372942278456,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.298394974822124,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.7179967854925036
 2017,0,173.60407000000001,173,1430,0.21773489089096770,19.516526709662571,248.47345829556596,2.8707554586380679,0.11562081961809921,0.12848162184931256,-1.2860802231213348E-002,173.51523754722027,0.55525451734005338,6.7784177155525764,-2.1288092020086289,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,52.250146606358655,102.08507388888889,397.64506997035937,1.0802622252460625,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.576197670152379,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.53333781341480158
 2017,0,173.62490000000000,173,1500,0.19501551992148350,19.574818909811029,272.58569165713084,2.5671312451046608,0.25394422007280448,0.24205867607374457,1.1885543999059911E-002,166.72825639688156,0.11376681823657565,10.302551888401874,0.86467551337354231,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,53.381525496481601,102.08648611111111,397.82340097117412,1.0584935926626531,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.869609230370134,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.71322096437599780
 2017,0,173.64572999999999,173,1530,0.44285966377997704,15.600879818893532,303.87684688511564,5.3350755115697099,1.3049325124519495,1.2652595473795072,3.9672965072442272E-002,199.91836104684478,-7.8605825183427909,-22.528941411635728,-0.58392029908583709,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,67.458863890949658,102.07339666666667,398.41064945118808,0.57500963765900315,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.674879024054659,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.3041328731810282E-002
 2017,0,173.66656000000000,173,1600,0.36910594948728981,14.648596750895194,304.79405972702608,4.4335420826875289,6.9955546671963159E-002,5.1394647466148885E-002,1.8560899205814274E-002,224.15224712659472,-1.8908147056369735,10.179845638627260,-1.7150445097237075,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,68.264810121706475,102.13577222222223,398.68431888879280,0.52745336780902985,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.105688783210567,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.14140522578567949
 2017,0,173.68738999999999,173,1630,0.33132776717534895,16.150074530707514,314.08582798706499,3.5805746053620569,-0.20652429940675865,-0.18299250730301322,-2.3531792103745439E-002,227.06570054591396,2.9665494837419439,10.269366709613953,0.60793840117732822,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,63.139040941436882,102.15486611111112,398.33561163501696,0.67461992160906004,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.308759647494135,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.19800087085440735
 2017,0,173.70822000000001,173,1700,0.28938536786024932,16.630118747287327,345.17438034481899,3.2786428016145392,-1.2808185613857903,-1.2520567455066085,-2.8761815879181786E-002,192.28625235368014,0.94681923716203642,157.97577134478064,-0.46150499606335066,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,60.398742789769507,102.15019388888888,397.90867621711914,0.74727047421324899,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.154267966313920,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.25166842442204790
 2017,0,173.72905000000000,173,1730,0.27780967779505783,17.198980322943839,341.59225833219512,3.3291457806486000,-0.97921216300818670,-0.95603998705935833,-2.3172175948828384E-002,168.06491627858114,1.1197919935450300,143.26946469643980,0.13497222740351983,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,58.493503663035376,102.14736000000001,397.56402765731212,0.81199478655598267,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.199565534279438,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.24862515052664569
 2017,0,173.74987999999999,173,1800,0.32253952996930840,17.652362365722695,341.59145921361068,4.0201333170762963,-0.53167635231540999,-0.52117421692901200,-1.0502135386398045E-002,167.67757473072032,0.89088803954880857,151.73100568519607,0.89123873323752145,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,58.347363771717234,102.11897444444445,397.40753801771149,0.83852798794306693,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.499352424881335,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.15852437302520234
 2017,0,173.77071000000001,173,1830,0.43862211653446542,17.039624701605931,342.87638620506726,5.1841874398559336,-0.75448547644957253,-0.73564286781891419,-1.8842608630658297E-002,197.21113766081305,-1.2067025328696106,165.35034406595196,-0.80940918232537806,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,59.230035528481636,102.13698750000000,397.12741012363659,0.78957854512060155,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.227872582623251,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.4131175899695201E-002
