,Temp_2_5_1,Temp_15_1,Temp_5_1,HFP_1,Tdiff_1,cs_1,S_1,Temp_2.5_1,Temp_2_5_2,Temp_15_2,Temp_5_2,HFP_2,Tdiff_2,cs_2,S_2,Temp_2.5_2,Temp_2_5_3,Temp_15_3,Temp_5_3,HFP_3,Tdiff_3,cs_3,S_3,Temp_2.5_3,Depth_1,Temp_1,VWC_1,Period_1,Probe_1,Active_Layer_1,Canopy_Height_1,Table_1,Depth_2,Temp_2,VWC_2,Period_2,Probe_2,Active_Layer_2,Canopy_Height_2,Table_2,Depth_3,Temp_3,VWC_3,Period_3,Probe_3,Active_Layer_3,Canopy_Height_3,Table_3,HFX,Zo
2017-09-05 01:30:00,4.711,3.428,4.632,4.122632240000001,0.06700000000000017,179625.178625,0.3343024157743064,,5.736000000000001,3.945,5.807,3.88340173,-0.2619999999999987,173167.00695120002,-1.2602709950337272,,6.181,4.647,4.513999999999999,6.480701109999999,-0.1719999999999997,,,,0.23600000000000002,1.9,0.2778484375,27.125,31.2,0.4895689655172414,14.0,-0.07599999999999998,0.14300000000000002,1.354,0.12349442999999999,21.57,31.3,0.4732985480943739,23.0,-0.16999999999999998,0.226,2.0,,,34.2,0.4877041742286751,20.3,-0.11600000000000002,1.5443937078651324,0.158
2017-09-05 02:00:00,4.4719999999999995,3.32,4.476,3.5045560000000004,-0.23900000000000077,179631.8057672,-1.192555599398915,,5.153,3.812,5.252999999999999,3.33131877,-0.5830000000000011,173167.00695120002,-2.8043434736819393,,5.681,4.562,4.428999999999999,7.973834569999999,-0.5,,,,0.23600000000000002,1.9,0.27800683000000004,27.13,31.2,0.4896551724137931,14.0,-0.07599999999999998,0.14300000000000002,1.4,0.12349442999999999,21.57,31.3,0.4733756805807623,23.0,-0.16999999999999998,0.226,2.0,,,34.2,0.4877949183303085,20.3,-0.11600000000000002,-0.14202137844207274,0.158
2017-09-05 02:30:00,4.367,3.342,4.413,2.8418763200000003,-0.10499999999999954,179638.43437379997,-0.5239454335902476,,4.747,3.825,4.836,2.6976781,-0.4059999999999997,173162.00822179997,-1.9528826482791872,,5.362,4.623,4.488,9.38541032,-0.31899999999999995,,,,0.23600000000000002,1.9,0.27816525749999993,27.134999999999998,31.2,0.4897413793103448,14.0,-0.07599999999999998,0.14300000000000002,1.4,0.12337495749999994,21.564999999999998,31.3,0.4734528130671507,23.0,-0.16999999999999998,0.2255,2.0,,,34.2,0.4878856624319419,20.3,-0.11650000000000002,0.4118101136546939,0.158
2017-09-05 03:00:00,4.242,3.364,4.337,2.2238000799999997,-0.125,179645.0644448,-0.6237675848777778,,4.33,3.838,4.422,2.0828584400000003,-0.4169999999999998,173157.0109568,-2.005735376916266,,5.065,4.671,4.534,11.72548923,-0.2969999999999997,,,,0.23600000000000002,1.9,0.27832372000000005,27.14,31.2,0.48982758620689654,14.0,-0.07599999999999998,0.14300000000000002,1.4,0.12325551999999992,21.56,31.3,0.47352994555353906,23.0,-0.16999999999999998,0.225,2.0,,,34.2,0.4879764065335753,20.3,-0.11700000000000002,0.14619726013021683,0.158
2017-09-05 03:30:00,4.121,3.388,4.276,1.64395536,-0.12099999999999955,179638.43437379997,-0.603784737756381,,3.937,3.835,4.025,1.4429441,-0.39300000000000024,173157.0109568,-1.8902973696117347,,4.7219999999999995,4.7010000000000005,4.559,10.52094459,-0.34300000000000086,,,,0.23600000000000002,1.9,0.27816525749999993,27.134999999999998,31.2,0.4899137931034483,14.0,-0.07599999999999998,0.14300000000000002,1.4,0.12325551999999992,21.56,31.3,0.4736070780399274,23.0,-0.16999999999999998,0.225,2.0,,,34.2,0.4880671506352087,20.3,-0.11700000000000002,0.012464449430428681,0.158
2017-09-05 04:00:00,3.964,3.355,4.154,1.06411064,-0.15700000000000047,179631.8057672,-0.7833942640402913,,3.532,3.745,3.597,0.78420875,-0.4049999999999998,173157.0109568,-1.9480163732639992,,4.36,4.671,4.53,12.80456047,-0.3619999999999992,,,,0.23600000000000002,1.9,0.27800683000000004,27.13,31.2,0.49,14.0,-0.07599999999999998,0.14300000000000002,1.4,0.12325551999999992,21.56,31.3,0.47368421052631576,23.0,-0.16999999999999998,0.225,2.0,,,34.2,0.4881578947368421,20.3,-0.11700000000000002,-0.2905459778655064,0.158
2017-09-05 04:30:00,3.88,3.395,4.099,0.50338168,-0.08400000000000007,179631.8057672,-0.4191408801234671,,3.1689999999999996,3.642,3.2439999999999998,0.15684175,-0.36300000000000043,173157.0109568,-1.745999860481069,,4.053,4.6610000000000005,4.525,11.97643603,-0.3070000000000004,,,,0.23600000000000002,1.9,0.27800683000000004,27.13,31.2,0.4900862068965517,14.0,-0.07599999999999998,0.14250000000000002,1.4,0.12325551999999992,21.56,31.3,0.4737613430127042,23.0,-0.17049999999999998,0.225,2.0,,,34.2,0.4882486388384755,20.3,-0.11700000000000002,-0.1065163487902745,0.158
2017-09-05 05:00:00,3.3510000000000004,2.989,3.634,-0.025487680000000002,-0.5289999999999995,179631.8057672,-2.6395895903013535,,2.513,3.194,2.642,-0.3764202,-0.6559999999999997,173157.0109568,-3.1553055329905764,,3.3,4.131,4.022,7.9675609000000005,-0.7530000000000001,,,,0.23600000000000002,1.9,0.27800683000000004,27.13,31.2,0.49017241379310345,14.0,-0.07599999999999998,0.142,1.4,0.12325551999999992,21.56,31.3,0.4738384754990926,23.0,-0.171,0.225,2.0,,,34.2,0.4883393829401089,20.3,-0.11700000000000002,-2.31132108704434,0.158
2017-09-05 05:30:00,3.049,2.759,3.322,-0.51612552,-0.3020000000000005,179631.8057672,-1.5069112594915137,,2.0469999999999997,2.8739999999999997,2.211,-0.8343981100000001,-0.4660000000000002,173152.01515619998,-2.2413566406330343,,2.7739999999999996,3.772,3.68,2.2585212,-0.5260000000000002,,,,0.2355,1.9,0.27800683000000004,27.13,31.2,0.4902586206896552,14.0,-0.0765,0.1415,1.4,0.1231361175,21.555,31.3,0.47391560798548094,23.0,-0.1715,0.225,2.0,,,34.2,0.4884301270417423,20.3,-0.11700000000000002,-1.3081944793037228,0.158
2017-09-05 06:00:00,2.524,2.2840000000000003,2.786,-0.97490376,-0.5249999999999999,179631.8057672,-2.6196305007716663,,1.426,2.283,1.626,-1.254734,-0.6209999999999998,173147.02082,-2.986786109144999,,1.9880000000000002,3.1060000000000003,3.04,-2.08913211,-0.7859999999999994,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4903448275862069,14.0,-0.07700000000000001,0.141,1.4,0.12301675000000001,21.55,31.3,0.47399274047186934,23.0,-0.17200000000000001,0.225,2.0,,,34.2,0.4885208711433757,20.3,-0.11700000000000002,-2.4070431440033078,0.158
2017-09-05 06:30:00,2.57,2.396,2.823,-1.0895983200000001,0.04599999999999982,179631.8057672,0.22952952959142134,,1.5759999999999998,2.4219999999999997,1.8230000000000002,-1.4429441,0.1499999999999999,173152.01515619998,0.7214667298174996,,2.287,3.261,3.193,0.8720401300000001,0.2989999999999997,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4904310344827586,14.0,-0.07700000000000001,0.141,1.4,0.1231361175,21.555,31.3,0.47406987295825775,23.0,-0.17200000000000001,0.225,2.0,,,34.2,0.4886116152450091,20.3,-0.11700000000000002,0.535280483486294,0.158
2017-09-05 07:00:00,2.727,2.6,2.9789999999999996,-0.99401952,0.15700000000000003,179631.8057672,0.7833942640402891,,1.84,2.682,2.124,-1.33629171,0.26400000000000023,173157.0109568,1.2698180803498678,,2.735,3.508,3.4360000000000004,4.190811559999999,0.44799999999999995,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.49051724137931035,14.0,-0.07700000000000001,0.141,1.4,0.12325551999999992,21.56,31.3,0.4741470054446461,23.0,-0.17200000000000001,0.225,2.0,,,34.2,0.4887023593466425,20.3,-0.11700000000000002,1.0320306429318924,0.158
2017-09-05 07:30:00,2.8480000000000003,2.775,3.117,-0.89844072,0.12100000000000044,179631.8057672,0.6037624582730912,,2.017,2.855,2.27,-1.12298693,0.17699999999999982,173157.0109568,0.8513553038709324,,3.0260000000000002,3.7060000000000004,3.6260000000000003,5.119314719999999,0.29100000000000037,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4906034482758621,14.0,-0.07700000000000001,0.141,1.4,0.12325551999999992,21.56,31.3,0.47422413793103446,23.0,-0.17200000000000001,0.225,2.0,,,34.2,0.48879310344827587,20.3,-0.11700000000000002,0.7402784127546065,0.158
2017-09-05 08:00:00,2.884,2.847,3.174,-0.8156057600000001,0.03599999999999959,179631.8057672,0.17963180576719795,,2.093,2.968,2.281,-0.95359784,0.07600000000000007,173157.0109568,0.36555368979768926,,3.176,3.8510000000000004,3.77,6.69400589,0.1499999999999999,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4906896551724138,14.0,-0.07700000000000001,0.141,1.4,0.12325551999999992,21.56,31.3,0.47430127041742287,23.0,-0.17200000000000001,0.225,2.0,,,34.2,0.48888384754990927,20.3,-0.11700000000000002,0.26091074775674844,0.158
2017-09-05 08:30:00,2.7110000000000003,2.705,3.0039999999999996,-0.87295304,-0.1729999999999996,179631.8057672,-0.8632306221590426,,1.7930000000000001,2.725,1.9580000000000002,-0.95359784,-0.2999999999999998,173152.01515619998,-1.4429334596349992,,2.8,3.543,3.498,3.6387286,-0.37600000000000033,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4907758620689655,14.0,-0.07700000000000001,0.1405,1.4,0.1231361175,21.555,31.3,0.4743784029038113,23.0,-0.1725,0.225,2.0,,,34.2,0.48897459165154267,20.3,-0.11700000000000002,-0.9720207236594178,0.158
2017-09-05 09:00:00,2.2159999999999997,2.204,2.468,-0.8920688000000001,-0.49500000000000055,179631.8057672,-2.469937329299003,,1.218,2.1519999999999997,1.389,-1.0477028899999998,-0.5750000000000002,173147.02082,-2.7655426936527787,,2.173,2.8810000000000002,2.861,-1.4115757500000001,-0.6269999999999998,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.49086206896551726,14.0,-0.07700000000000001,0.14,1.4,0.12301675000000001,21.55,31.3,0.47445553539019963,23.0,-0.173,0.225,2.0,,,34.2,0.48906533575317607,20.3,-0.11700000000000002,-2.5147574782476076,0.158
2017-09-05 09:30:00,1.6880000000000002,1.642,1.8980000000000001,-0.98127568,-0.5279999999999996,179631.8057672,-2.6345998179189314,,0.753,1.6,0.953,-1.1292606,-0.46499999999999997,173147.02082,-2.2364823522583333,,1.706,2.238,2.239,-5.627481990000001,-0.4670000000000001,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.490948275862069,14.0,-0.07700000000000001,0.139,1.4,0.12301675000000001,21.55,31.3,0.474532667876588,23.0,-0.174,0.22449999999999998,2.0,,,34.2,0.48915607985480947,20.3,-0.11750000000000003,-2.500156116418565,0.158
2017-09-05 10:00:00,1.5390000000000001,1.3969999999999998,1.65,-0.9366722399999999,-0.14900000000000002,179631.8057672,-0.7434760849809112,,0.843,1.524,1.15,-1.0037872,0.08999999999999997,173147.02082,0.4328675520499999,,1.791,1.972,1.9809999999999999,-4.67388415,0.08499999999999996,,,,0.235,1.9,0.27800683000000004,27.13,31.2,0.4910344827586207,14.0,-0.07700000000000001,0.138,1.4,0.12301675000000001,21.55,31.3,0.4746098003629764,23.0,-0.175,0.22399999999999998,2.0,,,34.2,0.4892468239564428,20.3,-0.11800000000000005,-0.3389797578292718,0.158
2017-09-05 10:30:00,1.906,1.5930000000000002,1.8659999999999999,-0.67542352,0.36699999999999977,179625.178625,1.8311789043159712,,1.32,1.746,1.805,-0.13802074,0.4770000000000001,173152.01515619998,2.29426420081965,,2.339,2.134,2.137,-6.486974780000001,0.548,,,,0.235,1.9,0.2778484375,27.125,31.2,0.4911206896551724,14.0,-0.07700000000000001,0.138,1.4,0.1231361175,21.555,31.3,0.4746869328493648,23.0,-0.175,0.22399999999999998,2.0,,,34.2,0.4893375680580762,20.3,-0.11800000000000005,2.2968108190564607,0.158
2017-09-05 11:00:00,2.5639999999999996,2.022,2.347,-0.10832264000000001,0.6579999999999997,179618.5529472,3.2830279955349315,,2.025,2.065,2.7439999999999998,1.22336565,0.7049999999999998,173157.0109568,3.3909914645706665,,3.085,2.478,2.4819999999999998,-7.41547794,0.746,,,,0.235,1.9,0.27769007999999995,27.12,31.2,0.4912068965517241,14.0,-0.07700000000000001,0.138,1.4,0.12325551999999992,21.56,31.3,0.47476406533575316,23.0,-0.175,0.22399999999999998,2.0,,,34.2,0.4894283121597096,20.3,-0.11800000000000005,3.950542601456897,0.158
2017-09-05 11:30:00,3.036,2.267,2.659,0.6499358399999999,0.4720000000000004,179611.9287338,2.3549119545098245,,2.7060000000000004,2.303,3.616,2.6976781,0.6810000000000005,173157.0109568,3.2755534572661356,,3.74,2.722,2.728,-6.95750003,0.6550000000000002,,,,0.2345,1.9,0.2775317575,27.115000000000002,31.2,0.49129310344827587,14.0,-0.07750000000000001,0.1375,1.4,0.12325551999999992,21.56,31.3,0.47484119782214157,23.0,-0.1755,0.22399999999999998,2.0,,,34.2,0.489519056261343,20.3,-0.11800000000000005,3.4554839060544524,0.158
2017-09-05 12:00:00,3.222,2.269,2.7460000000000004,1.3763347200000002,0.18599999999999994,179605.30598479998,0.9279607475881331,,3.187,2.323,4.2010000000000005,3.5007078599999994,0.48099999999999943,173157.0109568,2.313570063061686,,4.1419999999999995,2.7569999999999997,2.767,-5.80941842,0.40199999999999925,,,,0.23399999999999999,1.9,0.27737347,27.11,31.2,0.4913793103448276,14.0,-0.07800000000000001,0.13699999999999998,1.4,0.12325551999999992,21.56,31.3,0.47491833030853,23.0,-0.17600000000000002,0.22399999999999998,2.0,,,34.2,0.4896098003629764,20.3,-0.11800000000000005,2.3408019570289245,0.158
2017-09-05 12:30:00,3.3689999999999998,2.271,2.8369999999999997,2.14096512,0.1469999999999998,179598.68470019998,0.733361295859149,,3.622,2.347,4.672,3.97750678,0.43500000000000005,173162.00822179997,2.0923742660134166,,4.51,2.7739999999999996,2.787,-6.5936271699999995,0.3680000000000003,,,,0.23399999999999999,1.9,0.2772152174999999,27.105,31.2,0.4914655172413793,14.0,-0.07800000000000001,0.13699999999999998,1.4,0.12337495749999994,21.564999999999998,31.3,0.47499546279491833,23.0,-0.17600000000000002,0.22399999999999998,2.0,,,34.2,0.4897005444646098,20.3,-0.11800000000000005,2.3136809971075545,0.158
2017-09-05 13:00:00,3.449,2.194,2.8510000000000004,2.8355044,0.08000000000000007,179592.06488,0.3990934775111115,,3.932,2.34,5.069,4.36647432,0.31000000000000005,173167.00695120002,1.4911603376353337,,4.899,2.783,2.7910000000000004,-5.88470246,0.38900000000000023,,,,0.23399999999999999,1.9,0.27705700000000005,27.1,31.2,0.491551724137931,14.0,-0.07800000000000001,0.13699999999999998,1.4,0.12349442999999999,21.57,31.3,0.47507259528130674,23.0,-0.17600000000000002,0.22399999999999998,2.0,,,34.2,0.4897912885662432,20.3,-0.11800000000000005,2.113121575176804,0.158
2017-09-05 13:30:00,3.568,2.197,2.943,3.33251416,0.11900000000000022,179572.2142058,0.5935859302913956,,4.3389999999999995,2.424,5.457000000000001,4.64878947,0.4069999999999996,173167.00695120002,1.957749217476065,,5.184,2.8480000000000003,2.853,-8.20596036,0.28500000000000014,,,,0.23399999999999999,1.9,0.27658255750000005,27.085,31.2,0.4916379310344827,14.0,-0.07800000000000001,0.1365,1.4,0.12349442999999999,21.57,31.3,0.47514972776769515,23.0,-0.1765,0.22399999999999998,2.0,,,34.2,0.4898820326678766,20.3,-0.11800000000000005,2.500258697059527,0.158
2017-09-05 14:00:00,3.389,1.8769999999999998,2.7260000000000004,3.80403624,-0.17900000000000027,179552.37671120002,-0.8927743175362459,,4.486000000000001,2.247,5.622999999999999,4.912283609999999,0.14700000000000113,173167.00695120002,0.7070986117174056,,5.098,2.58,2.589,,-0.0860000000000003,,,,0.23399999999999999,1.9,0.27610843000000007,27.07,31.2,0.4917241379310345,14.0,-0.07800000000000001,0.136,1.4,0.12349442999999999,21.57,31.3,0.4752268602540835,23.0,-0.177,0.22399999999999998,2.0,,,34.2,0.48997277676951,20.3,-0.11800000000000005,1.2290558701441467,0.158
