TIMESTAMP,CO2_1_1_1,H2O_1_1_1,CH4_1_1_1,TAU_1_1_1,TAU_SSITC_TEST_1_1_1,H_1_1_1,H_SSITC_TEST_1_1_1,LE_1_1_1,LE_SSITC_TEST_1_1_1,FC_1_1_1,FC_SSITC_TEST_1_1_1,FCH4_1_1_1,FCH4_SSITC_TEST_1_1_1,WD_0_0_1,WS_0_0_1,WS_MAX_0_0_1,U_SIGMA_0_0_1,V_SIGMA_0_0_1,W_SIGMA_0_0_1,USTAR_0_0_1,MO_LENGTH_0_0_1,ZL_0_0_1,FETCH_MAX_0_0_1,FETCH_70_0_0_1,FETCH_80_0_0_1,FETCH_90_0_0_1,PA_0_0_1,RH_0_0_1,TA_0_0_1,VPD_0_0_1,T_SONIC_0_0_1,T_SONIC_SIGMA_0_0_1
[yyyymmddHHMMSS],[mmolCO2 mol-1],[mmolH2O mol-1],[nmolCH4 mol-1],[kg m-1 s-2],[#],[W m-2],[#],[W m-2],[#],[umolCO2 m-2 s-1],[#],[nmolCH4 m-2 s-1],[#],[Decimal degrees],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m s-1],[m],[#],[m],[m],[m],[m],[kPa],[%],[deg C],[hPa],[deg C],[deg C]
20170712150000,392.48448913384010,7.3910307208525161,1933.1650621166325,0.15321953424465509,0,210.98508596205428,0,161.90004213144940,0,-2.7069772552330247,0,41.218899953926439,0,61.895925065140950,3.7011393317491637,6.8954686572591086,0.83711509963002650,0.99480300473621086,0.37375308100669485,0.35187739156314296,-18.314626097270224,0.20912247837649592,-9999.,-9999.,-9999.,-9999.,102.42062683333333,46.326112940279742,14.389919528537348,8.7729590575558145,13.350354378594318,0.88127701498949707
20170712153000,392.47275440132273,7.3462630442969701,1932.7034062359273,0.13504553737622282,0,184.18707911395498,0,139.09107100806088,0,-2.5283501465539961,0,46.079539560797826,0,56.524839853757328,3.7903977367238140,6.8735590228789780,0.83648328051318688,0.95311026887267136,0.37816098468787934,0.33046016859112282,-17.376727217046373,0.22040974414576833,-9999.,-9999.,-9999.,-9999.,102.41912651405713,45.475886625398175,14.582268739427548,9.0234259535301700,13.661559867668132,0.85829169746420164
20170712160000,392.60020828995459,7.0032547761569468,1932.8313112019434,0.15092159570133631,0,196.80600632480184,0,169.04272434286227,0,-2.6434308054147122,0,51.175477076083148,0,58.872448511751131,3.8689599822372047,6.5476163671837826,0.73025262103955246,1.0243433468060916,0.37746523930685910,0.34937645656286503,-19.216908202609648,0.19930365278426462,-9999.,-9999.,-9999.,-9999.,102.41740966666667,43.116744526526325,14.666476609971824,9.4651755622465288,13.697740655687141,0.83159627664159097
20170712163000,392.62553801699420,6.9231972039281802,1933.5970096975527,0.15520969346418442,0,216.18020452423559,0,172.93119956776573,0,-2.7270853132370458,0,52.688962595011652,0,62.482337264157934,3.7671580585799234,6.8169344370542637,0.83354114609073127,0.85728960242438301,0.37562038084816729,0.35450776740314566,-18.276823580614302,0.20955501283397901,-9999.,-9999.,-9999.,-9999.,102.41770222222223,41.702661114517284,15.005464960734059,9.9147820478188233,14.093135316636847,0.90486179396978406
20170712170000,392.96775420899320,6.6514386775480165,1932.7458570581557,0.19479941057224398,0,219.42618222355603,0,177.48435718929446,0,-2.4847383245029739,0,55.178248428309814,0,65.723531158331639,4.0691605535197475,7.4413378104590668,0.86122079151095665,0.89815993809311201,0.40885972685208571,0.39722332857730430,-25.330041298948615,0.15120385927515143,-9999.,-9999.,-9999.,-9999.,102.41729411111112,39.738052235411971,15.133016582912887,10.333369439910289,14.305122066921683,0.83882802037616777
20170712173000,393.24184757259849,6.4921861670841103,1932.1728383044490,0.17998968865970566,0,193.43385880445715,0,145.02669717776388,0,-2.2337356471842584,0,49.326801107997191,0,63.761541324949086,4.1152093623432666,7.0023505028272011,0.85819107850071907,0.87327942284400850,0.38917772619176338,0.38175352638653104,-25.505255845427001,0.15016512765884310,-9999.,-9999.,-9999.,-9999.,102.41894322222223,39.003400737775010,15.046633455064580,10.401378059281267,14.151195347256134,0.79428537164224600
20170712180000,393.19348669025732,6.3934878949325231,1931.5982921103091,0.16644743095198894,0,183.00815010452314,0,141.11417052162847,0,-2.2097781355085013,0,48.017626770511711,0,61.715580012838139,4.1632429652410048,7.7960982856103636,0.88489306185881833,0.85380814405604744,0.38809640412768998,0.36710014988475931,-23.968502065577141,0.15979304795607288,-9999.,-9999.,-9999.,-9999.,102.40312255555556,38.531526091759190,14.995338712904186,10.447292328264243,14.004541369968024,0.79138163750979018
20170712183000,393.07928935786879,6.2504071493667777,1929.1815843593308,0.15363648405191255,0,185.96590124669018,0,150.55952407791315,0,-2.4576688661902906,0,51.763167010302695,0,54.631802923862395,3.9721959032557277,6.8151620310193941,0.80019221105376848,0.88205853662808420,0.38278486230384429,0.35264541685094719,-20.908717810065461,0.18317718163264116,-9999.,-9999.,-9999.,-9999.,102.40279322222221,37.810570306884145,14.937128929985874,10.530280417904937,13.928662684122742,0.79768361000743149
20170712190000,393.14725495475710,6.0924193705358114,1927.7868467620985,0.15000309187979458,0,169.14582345259376,0,128.66133967960542,0,-2.2931680724547419,0,49.831956869420154,0,53.142798157354811,3.8598882857047259,6.5079352973221445,0.79303053708823024,0.91758520858971304,0.36552047880169625,0.34837921154254109,-22.162182030623917,0.17281691823971437,-9999.,-9999.,-9999.,-9999.,102.39729729429413,37.129820674876193,14.820948405011222,10.566146083986972,13.823559584893928,0.72480728127111171
