Sitename:Mackenzie2017
Location: Latitude:   69.3723145 - Longitude: -134.8810730 - Elevation (masl):    -3.
Principal investigator: 
Ecosystem type: 
File creation date: 2020-08-20T12:11
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2017,0,193.81236999999999,193,1930,0.34174947371715131,14.737123860677116,48.213053405725489,3.8240080728324664,-2.4369636891650459,-2.4411883174166173,4.2246282515712198E-003,162.75888684126065,-0.16666630634348875,131.41387064781230,0.42860697218052707,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,38.198042661974789,102.38970272222222,393.20940922188419,1.0330619505279521,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.2343687195352731,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.17616378127681312
 2017,0,193.83320000000001,193,2000,0.30069466927855554,14.395489173041483,51.261959679466827,3.8090548320998123,-2.0954256887196117,-2.0927049375411313,-2.7207511784804934E-003,130.91805066004650,-0.68007282582053163,98.534317587356753,1.2236566745088442,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,41.582842107691263,102.38400100000001,393.16942581650920,0.95516840681627602,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.6390374470364373,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.20802222240781842
 2017,0,193.85402999999999,193,2030,0.33796715483784179,14.096553992377437,46.970476689559646,3.9053592646735842,-2.0618879221367887,-2.0632725327579982,1.3846106212094460E-003,119.61677818895285,-0.59569595282134580,90.646507862520579,0.54945202323309150,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,43.553779113045834,102.38219944444444,393.18975287435347,0.90524585776988986,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.8205058404562200,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.13386017535193248
 2017,0,193.87486000000001,193,2100,0.33935306340346699,13.801274568345889,62.565658393134235,3.8409726649815741,-1.8426977473945181,-1.8392204434208745,-3.4773039736434742E-003,92.642509935534719,-0.58891986214592895,62.495797028467067,0.16094818344223716,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,44.734832215907595,102.36515544444445,393.13874759190878,0.86947813526713658,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.8736015880635613,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.10242084642455362
 2017,0,193.89569000000000,193,2130,0.35304763171365489,13.248247863769620,64.350243761535950,4.1797845352777916,-1.7986306748690550,-1.7994816525879680,8.5097771891291189E-004,80.541322562910850,-1.1052614325995525,62.523800973912721,0.64905777360198813,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,47.821759560554035,102.37645594444444,393.15120434759859,0.79186912116201402,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.0871717821819971,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.9069289341784255E-002
 2017,0,193.91651999999999,193,2200,0.31342843957230482,12.770011730617966,51.544683177290437,3.9740689947206587,-1.5411315206280545,-1.5510844280019578,9.9529073739033740E-003,59.349396333858053,-0.95742103292358394,48.662965257543704,-0.32206186199427184,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,48.607982500501592,102.38298522222223,393.29664413102716,0.75592162649518091,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.9814307020447961,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.3268770226968353E-002
 2017,0,193.93735000000001,193,2230,0.31757519075804552,12.127756291707385,57.009656227366271,3.8905781828318240,-1.2290177748604003,-1.2523257259070395,2.3307951046639293E-002,30.644472559708760,-1.2885330654510723,36.269591034420010,1.3880842991977121E-002,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,50.730437437223507,102.37259177777779,393.63650784659541,0.69476405122778251,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.9859755584336867,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1336178932278193E-002
 2017,0,193.95818000000000,193,2300,0.30821085397287984,11.585115127563540,50.581857470956464,3.7604495470814205,-1.3941883962081669,-1.3985640472683867,4.3756510602196898E-003,20.661296771449383,-1.0907897965302569,32.488674287692085,0.55181634071230867,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,53.937424079234695,102.37388566666667,393.70018901399146,0.62669075328201551,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.1662111564422144,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,3.0487342212164332E-002
 2017,0,193.97900999999999,193,2330,0.24802410289997387,10.525873084174236,55.790534906198552,3.1456649549146798,-0.77299984571785463,-0.79130797593852276,1.8308130220668097E-002,-8.0660043256878655,-2.1370615423808479,18.889026392477234,-0.10143301625925769,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,57.600756464830525,102.37062055555555,393.96565418463859,0.53766078451006483,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.1332365303391008,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.2840402093733232E-002
 2017,0,194.00000000000000,194,000,0.21484110004412493,10.065078513251422,51.764753409520246,2.8531886087496896,-0.59403742922248781,-0.58261064783212380,-1.1426781390363979E-002,-10.123111628835455,-0.93148275311498319,7.4720312880242705,0.70945739621920234,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,61.335992558943566,102.40052711111110,393.80028499795520,0.47542755057820846,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.3633289980646870,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.4094613890343512E-002
